time,q1_l,q1_r,q2_l,q2_r
0.0,-9.710995236267612e-09,-9.710995236267612e-09,2.1073424255447017e-08,2.1073424255447017e-08
0.02,-0.0151356907947974,-0.0151356907947974,0.032845578574245,0.032845578574245
0.04,-0.0300664899865886,-0.0300664899865886,0.0652479883436329,0.0652479883436329
0.06,-0.0447905945856285,-0.0447905945856285,0.0972046684493419,0.0972046684493419
0.08,-0.0593061129697564,-0.0593061129697564,0.1287127546030258,0.1287127546030258
0.1,-0.0736110620328609,-0.0736110620328609,0.1597690774522731,0.1597690774522731
0.12,-0.0877033643763435,-0.0877033643763435,0.1903701604121886,0.1903701604121886
0.14,-0.1015808455142085,-0.1015808455142085,0.2205122169590548,0.2205122169590548
0.16,-0.1152412310634061,-0.1152412310634061,0.2501911473787332,0.2501911473787332
0.18,-0.1286821438915531,-0.1286821438915531,0.2794025349589781,0.2794025349589781
0.2,-0.1419011011942602,-0.1419011011942602,0.3081416416112944,0.3081416416112944
0.22,-0.1548955114738913,-0.1548955114738913,0.3364034029040307,0.3364034029040307
0.24,-0.1676626713908331,-0.1676626713908331,0.3641824224843445,0.3641824224843445
0.26,-0.1801997624571157,-0.1801997624571157,0.3914729658621381,0.3914729658621381
0.28,-0.192503847540605,-0.192503847540605,0.4182689535241881,0.4182689535241881
0.3,-0.2045718671459284,-0.2045718671459284,0.4445639533413463,0.4445639533413463
0.32,-0.2164006354357183,-0.2164006354357183,0.4703511722256201,0.4703511722256201
0.34,-0.2279868359528331,-0.2279868359528331,0.4956234469875124,0.4956234469875124
0.36,-0.2393270170006033,-0.2393270170006033,0.5203732343364015,0.5203732343364015
0.38,-0.250417586634139,-0.250417586634139,0.5445925999585988,0.5445925999585988
0.4,-0.261254807211022,-0.261254807211022,0.5682732065983048,0.5682732065983048
0.42,-0.2718347894443503,-0.2718347894443503,0.5914063010561125,0.5914063010561125
0.44,-0.2821534858950237,-0.2821534858950237,0.6139827000077529,0.6139827000077529
0.46,-0.29220668383322,-0.29220668383322,0.6359927745321032,0.6359927745321032
0.48,-0.3019899973911452,-0.3019899973911452,0.657426433221907,0.657426433221907
0.5,-0.3114988589202214,-0.3114988589202214,0.6782731037328361,0.6782731037328361
0.52,-0.3207285094557068,-0.3207285094557068,0.6985217126060257,0.6985217126060257
0.54,-0.3296739881801916,-0.3296739881801916,0.7181606631756471,0.7181606631756471
0.56,-0.3383301207642346,-0.3383301207642346,0.7371778113458763,0.7371778113458763
0.58,-0.3466915064472781,-0.3466915064472781,0.7555604389900199,0.7555604389900199
0.6,-0.3547525037046857,-0.3547525037046857,0.7732952246879957,0.7732952246879957
0.62,-0.3625072143267421,-0.3625072143267421,0.7903682114756263,0.7903682114756263
0.64,-0.3699494657123464,-0.3699494657123464,0.8067647712293157,0.8067647712293157
0.66,-0.3770727911532514,-0.3770727911532514,0.8224695652511578,0.8224695652511578
0.68,-0.3838704078532954,-0.3838704078532954,0.8374665005506232,0.8374665005506232
0.7,-0.3903351923902057,-0.3903351923902057,0.8517386812376062,0.8517386812376062
0.72,-0.3964596532840381,-0.3964596532840381,0.8652683543451364,0.8652683543451364
0.74,-0.4022359002846673,-0.4022359002846673,0.8780368492851722,0.8780368492851722
0.76,-0.4076556099291302,-0.4076556099291302,0.8900245100036055,0.8900245100036055
0.78,-0.4127099868456596,-0.4127099868456596,0.9012106187356596,0.9012106187356596
0.8,-0.4173897201920089,-0.4173897201920089,0.9115733100639548,0.9115733100639548
0.82,-0.4216849345073051,-0.4216849345073051,0.9210894737402482,0.9210894737402482
0.84,-0.4255851341243577,-0.4255851341243577,0.9297346444378451,0.9297346444378451
0.86,-0.4290791401267948,-0.4290791401267948,0.937482876241328,0.937482876241328
0.88,-0.4321550186344431,-0.4321550186344431,0.9443065992359682,0.9443065992359682
0.9,-0.4347999989503407,-0.4347999989503407,0.9501764550080476,0.9501764550080476
0.92,-0.4370003797896723,-0.4370003797896723,0.9550611071791036,0.9550611071791036
0.94,-0.4387414214160215,-0.4387414214160215,0.9589270222315764,0.9589270222315764
0.96,-0.4400072210087086,-0.4400072210087086,0.9617382147867276,0.9617382147867276
0.98,-0.4407802709186502,-0.4407802709186502,0.9634559500949758,0.9634559500949758
1.0,-0.4410403828838526,-0.4410403828838526,0.964038394684992,0.964038394684992
1.02,-0.4410347259096758,-0.4410347259096758,0.9640383945712112,0.9640383945712112
1.04,-0.441024215321168,-0.441024215321168,0.9640383940324654,0.9640383940324654
