time,q1_l,q1_r,q2_l,q2_r
0.1   0.00906993  0.02584718  0.00952611 -0.00898156
0.2  -0.02222938  0.04377431  0.05593169 -0.01211219
0.3  -0.05693430  0.06226462  0.10605626 -0.01339438
0.4  -0.08690581  0.08462714  0.16482211 -0.01090356
0.5  -0.11421077  0.09528540  0.14834492 -0.01626429
0.6  -0.14311949  0.11400545  0.17356369 -0.01459304
0.7  -0.15402690  0.13125188  0.15293876 -0.01226127
0.8  -0.18362607  0.13812079  0.18204144 -0.00836993
0.9  -0.17247462  0.13450421  0.17577684  0.01282321
1.0  -0.16002246  0.11487558  0.13916083  0.01604669
1.1  -0.14968744  0.10177369  0.09980313  0.01900849
1.2  -0.12818012  0.08766359  0.04361479  0.02823631
1.3  -0.11274713  0.06984139  0.01015707  0.02832968
1.4  -0.08876179  0.03883730  0.01832252  0.02176987
1.5  -0.06318450 -0.00093115 -0.00338966  0.01654408
1.6  -0.03922888  0.00973905 -0.00143061 -0.00235281
1.7  -0.02133389  0.01962806 -0.00501113  0.00617642
1.8  -0.03053238 -0.00314181 -0.00879399  0.02234671
1.9  -0.01781255  0.01050871 -0.01308420  0.01051063
2.0   0.02584718  0.00906993 -0.00898156  0.00952611
2.1   0.04377431 -0.02222938 -0.01211219  0.05593169
2.2   0.06226462 -0.05693430 -0.01339438  0.10605626
2.3   0.08462714 -0.08690581 -0.01090356  0.16482211
2.4   0.09528540 -0.11421077 -0.01626429  0.14834492
2.5   0.11400545 -0.14311949 -0.01459304  0.17356369
2.6   0.13125188 -0.15402690 -0.01226127  0.15293876
2.7   0.13812079 -0.18362607 -0.00836993  0.18204144
2.8   0.13450421 -0.17247462  0.01282321  0.17577684
2.9   0.11487558 -0.16002246  0.01604669  0.13916083
3.0   0.10177369 -0.14968744  0.01900849  0.09980313
3.1   0.08766359 -0.12818012  0.02823631  0.04361479
3.2   0.06984139 -0.11274713  0.02832968  0.01015707
3.3   0.03883730 -0.08876179  0.02176987  0.01832252
3.4  -0.00093115 -0.06318450  0.01654408 -0.00338966
3.5   0.00973905 -0.03922888 -0.00235281 -0.00143061
3.6   0.01962806 -0.02133389  0.00617642 -0.00501113
3.7  -0.00314181 -0.03053238  0.02234671 -0.00879399
3.8   0.01050871 -0.01781255  0.01051063 -0.01308420
