time,q1_l,q1_r,q2_l,q2_r
0.1,0.009069929002532609,0.025847179010706243,0.009526113993326089,0.0
0.2,-0.022229384328703583,0.04377430862870546,0.05593168730608404,0.0
0.3,-0.056934297750031206,0.062264618963355084,0.10605625722196127,0.0
0.4,-0.0869058136124686,0.0846271429587782,0.16482210678325548,0.0
0.5,-0.09020338213273653,0.10666928958824855,0.16167743182186872,0.0
0.6,-0.11314349934062158,0.13111133054246146,0.17076124193974881,0.0
0.7,-0.13973903349563527,0.12465164214506708,0.18272715732388645,0.0
0.8,-0.10986746510579819,0.12646567399053352,0.14082501259354457,0.0
0.9,-0.11190839505012243,0.132518569874366,0.10746968045986292,0.0
1.0,-0.12518176777709794,0.10253881582420646,0.10364936364073472,0.0
1.1,-0.10424670333013605,0.09577229039981855,0.07937956775670114,0.0
1.2,-0.08042698611960493,0.08869406119789494,0.05759601337510413,0.0
1.3,-0.05576289448691761,0.10218943827885524,0.02655673758682672,0.0
1.4,-0.05533116547471651,0.0908229315087309,0.03721677555773612,0.0
1.5,-0.05841907019749188,0.10626891805026176,0.07645239509921388,0.0
1.6,-0.035826137657209836,0.1042032359358618,0.04991433509717987,0.0
1.7,-0.011436081849600094,0.09013706535148583,0.02596865609851078,0.0
1.8,-0.008228735236332057,0.07491812117285547,0.03581122901264492,0.0
1.9,-0.025064995875324705,0.05660330188041476,0.04603212845271976,0.0
2.0,-0.06509815272313324,0.03859284475546711,0.047114585398959255,0.0
2.1,-0.062347396512961756,0.019332244355609148,0.029307796332591493,0.0
2.2,-0.058473211714666566,-0.00872273262136256,0.007967698297196414,0.0
2.3,-0.042183613084507916,4.988256823366285e-5,-0.0025542136276865404,0.0
2.4,-0.045245943962836335,0.0042993859787913685,0.02754530961396957,0.0
2.5,-0.026390494702839468,0.022588139293722644,0.024125953255743054,0.0
2.6,-0.013828027128392439,0.03550855331955785,0.007533693385755185,0.0
2.7,-0.03114747104360085,0.037870612799941604,0.005172554380185231,0.0
2.8,-0.021274213122263082,0.03006148549372726,-0.0044785747305142575,0.0
2.9,-0.016981473681603385,0.015249083590795267,0.011221612318551805,0.0
3.0,0.025847179010706243,0.009069929002532609,0.0,0.009526113993326089
3.1,0.04377430862870546,-0.022229384328703583,0.0,0.05593168730608404
3.2,0.062264618963355084,-0.056934297750031206,0.0,0.10605625722196127
3.3,0.0846271429587782,-0.0869058136124686,0.0,0.16482210678325548
3.4,0.10666928958824855,-0.09020338213273653,0.0,0.16167743182186872
3.5,0.13111133054246146,-0.11314349934062158,0.0,0.17076124193974881
3.6,0.12465164214506708,-0.13973903349563527,0.0,0.18272715732388645
3.7,0.12646567399053352,-0.10986746510579819,0.0,0.14082501259354457
3.8,0.132518569874366,-0.11190839505012243,0.0,0.10746968045986292
3.9,0.10253881582420646,-0.12518176777709794,0.0,0.10364936364073472
4.0,0.09577229039981855,-0.10424670333013605,0.0,0.07937956775670114
4.1,0.08869406119789494,-0.08042698611960493,0.0,0.05759601337510413
4.2,0.10218943827885524,-0.05576289448691761,0.0,0.02655673758682672
4.3,0.0908229315087309,-0.05533116547471651,0.0,0.03721677555773612
4.4,0.10626891805026176,-0.05841907019749188,0.0,0.07645239509921388
4.5,0.1042032359358618,-0.035826137657209836,0.0,0.04991433509717987
4.6,0.09013706535148583,-0.011436081849600094,0.0,0.02596865609851078
4.7,0.07491812117285547,-0.008228735236332057,0.0,0.03581122901264492
4.8,0.05660330188041476,-0.025064995875324705,0.0,0.04603212845271976
4.9,0.03859284475546711,-0.06509815272313324,0.0,0.047114585398959255
5.0,0.019332244355609148,-0.062347396512961756,0.0,0.029307796332591493
5.1,-0.00872273262136256,-0.058473211714666566,0.0,0.007967698297196414
5.2,4.988256823366285e-5,-0.042183613084507916,0.0,-0.0025542136276865404
5.3,0.0042993859787913685,-0.045245943962836335,0.0,0.02754530961396957
5.4,0.022588139293722644,-0.026390494702839468,0.0,0.024125953255743054
5.5,0.03550855331955785,-0.013828027128392439,0.0,0.007533693385755185
5.6,0.037870612799941604,-0.03114747104360085,0.0,0.005172554380185231
5.7,0.03006148549372726,-0.021274213122263082,0.0,-0.0044785747305142575
5.8,0.015249083590795267,-0.016981473681603385,0.0,0.011221612318551805
5.9,0.009069929002532609,0.025847179010706243,0.009526113993326089,0.0
6.0,-0.022229384328703583,0.04377430862870546,0.05593168730608404,0.0
6.1,-0.056934297750031206,0.062264618963355084,0.10605625722196127,0.0
6.2,-0.0869058136124686,0.0846271429587782,0.16482210678325548,0.0
6.3,-0.09020338213273653,0.10666928958824855,0.16167743182186872,0.0
6.4,-0.11314349934062158,0.13111133054246146,0.17076124193974881,0.0
6.5,-0.13973903349563527,0.12465164214506708,0.18272715732388645,0.0
6.6,-0.10986746510579819,0.12646567399053352,0.14082501259354457,0.0
6.7,-0.11190839505012243,0.132518569874366,0.10746968045986292,0.0
6.8,-0.12518176777709794,0.10253881582420646,0.10364936364073472,0.0
6.9,-0.10424670333013605,0.09577229039981855,0.07937956775670114,0.0
7.0,-0.08042698611960493,0.08869406119789494,0.05759601337510413,0.0
7.1,-0.05576289448691761,0.10218943827885524,0.02655673758682672,0.0
7.2,-0.05533116547471651,0.0908229315087309,0.03721677555773612,0.0
7.3,-0.05841907019749188,0.10626891805026176,0.07645239509921388,0.0
7.4,-0.035826137657209836,0.1042032359358618,0.04991433509717987,0.0
7.5,-0.011436081849600094,0.09013706535148583,0.02596865609851078,0.0
7.6,-0.008228735236332057,0.07491812117285547,0.03581122901264492,0.0
7.7,-0.025064995875324705,0.05660330188041476,0.04603212845271976,0.0
7.8,-0.06509815272313324,0.03859284475546711,0.047114585398959255,0.0
7.9,-0.062347396512961756,0.019332244355609148,0.029307796332591493,0.0
8.0,-0.058473211714666566,-0.00872273262136256,0.007967698297196414,0.0
8.1,-0.042183613084507916,4.988256823366285e-5,-0.0025542136276865404,0.0
8.2,-0.045245943962836335,0.0042993859787913685,0.02754530961396957,0.0
8.3,-0.026390494702839468,0.022588139293722644,0.024125953255743054,0.0
8.4,-0.013828027128392439,0.03550855331955785,0.007533693385755185,0.0
8.5,-0.03114747104360085,0.037870612799941604,0.005172554380185231,0.0
8.6,-0.021274213122263082,0.03006148549372726,-0.0044785747305142575,0.0
8.7,-0.016981473681603385,0.015249083590795267,0.011221612318551805,0.0
8.8,0.025847179010706243,0.009069929002532609,0.0,0.009526113993326089
8.9,0.04377430862870546,-0.022229384328703583,0.0,0.05593168730608404
9.0,0.062264618963355084,-0.056934297750031206,0.0,0.10605625722196127
9.1,0.0846271429587782,-0.0869058136124686,0.0,0.16482210678325548
9.2,0.10666928958824855,-0.09020338213273653,0.0,0.16167743182186872
